phone,minTime,maxTime,k total,kw total,g total,gw total
g,64.368,64.438,,,,
g,128.652,128.722,,,,
g,132.272,132.332,,,,
g,136.035,136.095,,,,
g,138.095,138.145,,,,
k,143.049,143.109,,,,
g,145.663,145.723,,,,
g,146.413,146.453,,,,
g,151.826,151.856,,,,
k,153.506,153.546,,,,
g,157.832,157.872,,,,
k,158.082,158.132,,,,
g,163.268,163.308,,,,
k,171.904,171.964,,,,
g,174.914,174.964,,,,
g,176.154,176.244,,,,
g,187.308,187.338,,,,
k,187.528,187.578,,,,
k,188.938,188.998,,,,
g,191.002,191.052,,,,
g,195.428,195.498,,,,
g,196.598,196.678,,,,
g,196.958,197.028,,,,
g,199.551,199.591,,,,
g,205.532,205.592,,,,
g,205.792,205.892,,,,
g,207.852,207.892,,,,
g,214.174,214.224,,,,
g,214.444,214.504,,,,
g,218.11,218.27,,,,
g,225.092,225.142,,,,
g,226.272,226.312,,,,
g,231.27,231.33,,,,
g,231.55,231.62,,,,
k,232.88,232.92,,,,
g,233.26,233.31,,,,
g,234.16,234.21,,,,
g,238.476,238.506,,,,
g,238.736,238.816,,,,
g,241.246,241.306,,,,
g,254.802,254.842,,,,
g,255.042,255.102,,,,
g,257.572,257.622,,,,
g,262.76,262.81,,,,
g,263.61,263.67,,,,
g,265.28,265.34,,,,
g,270.978,271.018,,,,
g,271.438,271.478,,,,
g,273.908,273.968,,,,
g,280.426,280.456,,,,
g,280.606,280.646,,,,
g,287.694,287.724,,,,
k,288.454,288.494,,,,
g,289.514,289.564,,,,
g,294.572,294.642,,,,
g,294.842,294.872,,,,
g,300.395,300.445,,,,
k,324.105,324.185,,,,
g,327.484,327.564,,,,
g,328.384,328.464,,,,
g,329.234,329.294,,,,
g,334.888,334.928,,,,
g,355.98,356.03,,,,
k,356.17,356.23,,,,
g,365.52,365.56,,,,
k,369.714,369.764,,,,
g,370.804,370.864,,,,
g,372.374,372.424,,,,
g,378.656,378.726,,,,
g,398.1,398.17,,,,
k,399.09,399.15,,,,
gw,400.32,400.39,,,,
g,405.085,405.155,,,,
k,425.102,425.212,,,,
g,469.356,469.386,,,,
g,474.632,474.672,,,,
g,479.852,479.932,,,,
g,487.665,487.735,,,,
g,488.345,488.375,,,,
g,490.695,490.725,,,,
g,560.567,560.607,,,,
g,568.029,568.059,,,,
g,573.474,573.544,,,,
g,578.352,578.432,,,,
g,579.962,580.012,,,,
g,600.45,600.5,,,,
g,607.564,607.614,,,,
g,633.424,633.454,,,,
g,644.501,644.551,,,,
k,680.826,680.886,,,,
g,690.305,690.365,,,,
k,690.495,690.535,,,,
g,695.886,695.916,,,,
g,704.278,704.358,,,,
g,704.828,704.858,,,,
k,717.26,717.36,,,,
g,730.4,730.44,,,,
k,735.596,735.676,,,,
g,737.756,737.806,,,,
g,742.815,742.895,,,,
k,743.785,743.845,,,,
g,744.455,744.505,,,,
g,773.034,773.064,,,,
g,774.734,774.764,,,,
g,779.674,779.704,,,,
g,780.804,780.834,,,,
g,823.747,823.777,,,,
g,856.948,856.998,,,,
g,859.228,859.268,,,,
g,872.966,873.036,,,,
g,877.09,877.16,,,,
g,881.14,881.2,,,,
k,892.352,892.392,,,,
g,918.817,918.907,,,,
g,919.997,920.067,,,,
g,922.167,922.197,,,,
g,923.181,923.241,,,,
k,923.381,923.421,,,,
gw,926.181,926.261,,,,
k,941.675,941.735,,,,
k,967.837,967.877,,,,
g,968.587,968.627,,,,
g,1009.209,1009.279,,,,
g,1021.634,1021.674,,,,
g,1024.417,1024.487,,,,
g,1072.342,1072.372,,,,
g,1088.226,1088.286,,,,
g,1090.016,1090.096,,,,
g,1097.166,1097.246,,,,
k,1119.82,1119.89,,,,
g,1121.05,1121.09,,,,
g,1127.301,1127.341,,,,
k,1132.432,1132.542,,,,
k,1136.274,1136.304,,,,
g,1147.038,1147.088,,,,
g,1195.682,1195.732,,,,
g,1197.082,1197.132,,,,
g,1200.686,1200.756,,,,
g,1201.476,1201.656,,,,
g,1205.506,1205.546,,,,
g,1207.626,1207.706,,,,
g,1210.706,1210.766,,,,
g,1212.806,1212.856,,,,
k,1227.16,1227.22,,,,
g,1230.492,1230.572,,,,
k,1232.922,1232.962,,,,
g,1236.828,1236.858,,,,
g,1257.464,1257.534,,,,
g,1261.986,1262.046,,,,
g,1265.586,1265.626,,,,
g,1279.85,1279.91,,,,
k,1283.826,1283.896,,,,
k,1316.014,1316.054,,,,
g,1322.195,1322.225,,,,
g,1332.99,1333.03,,,,
g,1335.91,1335.97,,,,
g,1340.431,1340.481,,,,
g,1340.701,1340.821,,,,
k,1343.122,1343.152,,,,
g,1349.149,1349.199,,,,
g,1353.539,1353.589,,,,
g,1371.114,1371.154,,,,
k,1372.164,1372.214,,,,
g,1375.462,1375.522,,,,
g,1380.238,1380.338,,,,
g,1381.288,1381.348,,,,
g,1382.568,1382.648,,,,
g,1422.752,1422.812,,,,
g,1427.1,1427.19,,,,
g,1430.574,1430.634,,,,
g,1433.834,1433.884,,,,
k,1437.432,1437.512,,,,
g,1438.092,1438.162,,,,
g,1439.062,1439.112,,,,
g,1457.23,1457.29,,,,
k,1481.916,1482.036,,,,
g,1482.396,1482.456,,,,
g,1485.046,1485.076,,,,
k,1491.747,1491.777,,,,
g,1501.78,1501.82,,,,
g,1508.967,1509.017,,,,
g,1511.25,1511.32,,,,
g,1512.58,1512.62,,,,
g,1525.988,1526.018,,,,
g,1527.828,1527.898,,,,
k,1530.088,1530.138,,,,
g,1538.012,1538.042,,,,
g,1553.724,1553.774,,,,
g,1560.434,1560.474,,,,
g,1568.036,1568.166,,,,
g,1579.722,1579.782,,,,
k,1589.538,1589.588,,,,
g,1595.41,1595.44,,,,
k,1595.58,1595.62,,,,
g,1597.22,1597.28,,,,
g,1632.328,1632.388,,,,
g,1634.032,1634.072,,,,
g,1634.402,1634.432,,,,
gw,1636.492,1636.552,,,,
g,1637.142,1637.202,,,,
g,1643.631,1643.681,,,,
g,1650.13,1650.2,,,,
g,1654.253,1654.323,,,,
g,1656.213,1656.243,,,,
g,1662.856,1662.896,,,,
g,1683.322,1683.412,,,,
g,1718.384,1718.424,,,,
g,1725.859,1725.889,,,,
g,1727.479,1727.519,,,,
gw,1727.879,1727.949,,,,
g,1728.619,1728.649,,,,
g,1729.729,1729.769,,,,
g,1735.756,1735.846,,,,
g,1749.806,1749.856,,,,
k,1764.366,1764.416,,,,
k,1764.976,1765.076,,,,
g,1784.41,1784.48,,,,
g,1785.96,1786.0,,,,
g,1791.087,1791.167,,,,
,,,39,0,176,4
